iataCode,cityName,airportName,countryCode
AAA,Anaa,Anaa Airport,PF
AAB,Arrabury,Arrabury Airport,AU
AAC,El Arish,El Arish International Airport,EG
AAD,Adado,Adado Airport,SO
AAE,Rabah Bitat,Rabah Bitat Airport (Les Salines Airport),DZ
AAF,Apalachicola,Apalachicola Regional Airport,US
AAG,Arapoti,Arapoti Airport,BR
AAH,Merzbruck,Merzbruck Airport,DE
AAI,Arraias,Arraias Airport,BR
AAJ,Cayana,Cayana Airstrip,SR
AAK,Aranuka,Aranuka Airport,KI
AAL,Aalborg,Aalborg Airport,DK
AAM,Mala Mala,Mala Mala Airport,ZA
AAN,Al Ain,Al Ain International Airport,AE
AAO,Anaco,Anaco Airport,VE
AAP,APT Pranoto,APT Pranoto International Airport,ID
AAQ,Anapa,Anapa Airport,RU
AAR,Aarhus,Aarhus Airport,DK
AAS,Apalapsili,Apalapsili Airport,ID
AAT,Altay,Altay Airport,CN
AAU,Asau,Asau Airport,WS
AAV,Allah Valley,Allah Valley Airport,PH
AAX,Araxa,Araxa Airport,BR
AAY,Al Ghaydah,Al Ghaydah Airport,YE
AAZ,Quetzaltenango,Quetzaltenango Airport,GT
ABA,Abakan,Abakan International Airport,RU
ABB,Asaba,Asaba International Airport,NG
ABC,Albacete,Albacete Airport,ES
ABD,Abadan,Abadan International Airport,IR
ABE,Lehigh Valley,Lehigh Valley International Airport,US
ABF,Abaiang Atoll,Abaiang Atoll Airport,KI
ABG,Abingdon,Abingdon Airport,AU
ABH,Alpha,Alpha Airport,AU
ABI,Abilene,Abilene Regional Airport,US
ABJ,Port Bouet,Port Bouet Airport (Felix Houphouet Boigny Int'l),CI
ABK,Kabri Dar,Kabri Dar Airport,ET
ABL,Ambler,Ambler Airport,US
ABM,Northern Peninsula,Northern Peninsula Airport,AU
ABN,Albina,Albina Airstrip,SR
ABO,Aboisso,Aboisso Airport,CI
ABP,Atkamba,Atkamba Airport,PG
ABQ,Albuquerque,Albuquerque International Sunport,US
ABR,Aberdeen,Aberdeen Regional Airport,US
ABS,Abu Simbel,Abu Simbel Airport,EG
ABT,Al-Baha Domestic,Al-Baha Domestic Airport,SA
ABU,Haliwen,Haliwen Airport,ID
ABV,Nnamdi Azikiwe,Nnamdi Azikiwe International Airport,NG
ABW,Abau,Abau Airport,PG
ABX,Albury,Albury Airport,AU
ABY,Southwest Georgia,Southwest Georgia Regional Airport,US
ABZ,Aberdeen,Aberdeen Airport,GB
ACA,General Juan N. Alvarez,General Juan N. Alvarez International Airport,MX
ACB,Antrim,Antrim County Airport,US
ACC,Kotoka,Kotoka International Airport,GH
ACD,Alcides Fernandez,Alcides Fernandez Airport,CO
ACE,Lanzarote,Lanzarote Airport,ES
ACH,St. Gallen-Altenrhein,St. Gallen-Altenrhein Airport,CH
ACJ,Anuradhapura,Anuradhapura Airport,LK
ACK,Nantucket Memorial,Nantucket Memorial Airport,US
ACL,Aguaclara,Aguaclara Airport,CO
ACM,Arica,Arica Airport,CO
ACN,Ciudad Acuna,Ciudad Acuna International Airport,MX
ACP,Sahand,Sahand Airport,IR
ACR,Araracuara,Araracuara Airport,CO
ACS,Achinsk,Achinsk Airport,RU
ACT,Waco,Waco Regional Airport,US
ACU,Achutupo,Achutupo Airport,PA
ACV,Arcata-Eureka,Arcata-Eureka Airport,US
ACX,Xingyi Wanfenglin,Xingyi Wanfenglin Airport,CN
ACY,Atlantic City,Atlantic City International Airport,US
ACZ,Zabol,Zabol Airport,IR
ADA,Adana Sakirpasa,Adana Sakirpasa Airport,TR
ADB,Adnan Menderes,Adnan Menderes Airport,TR
ADC,Andakombe,Andakombe Airport,PG
ADD,Bole,Bole International Airport,ET
ADE,Aden,Aden International Airport,YE
ADF,Adiyaman,Adiyaman Airport,TR
ADG,Lenawee,Lenawee County Airport,US
ADH,Aldan,Aldan Airport,RU
ADI,Arandis,Arandis Airport,NA
ADJ,Amman,Marka International Airport,Jordan
ADK,Adak,Adak Airport,US
ADL,Adelaide,Adelaide Airport,AU
ADM,Ardmore,Ardmore Municipal Airport,US
ADN,Andes,Andes Airport,CO
ADO,Andamooka,Andamooka Airport,AU
ADP,Ampara,Ampara Airport,LK
ADQ,Kodiak,Kodiak Airport,US
ADR,Robert F. Swinnie,Robert F. Swinnie Airport,US
ADS,Addison,Addison Airport,US
ADT,Ada,Ada Municipal Airport,US
ADU,Ardabil,Ardabil Airport,IR
ADV,Ed Daein,Ed Daein Airport,SD
ADW,Andrews,Andrews Field (Andrews Air Force Base),US
ADX,Leuchars,RAF Leuchars,GB
ADY,Alldays,Alldays Airport,ZA
ADZ,Gustavo Rojas Pinilla,Gustavo Rojas Pinilla International Airport,CO
AEA,Abemama Atoll,Abemama Atoll Airport,KI
AEB,Baise Bama,Baise Bama Airport,CN
AEE,Adareil,Adareil Airport,SS
AEG,Aek Godang,Aek Godang Airport,ID
AEH,Abeche,Abeche Airport,TD
AEK,Aseki,Aseki Airport,PG
AEL,Albert Lea,Albert Lea Municipal Airport,US
AEM,Amgu,Amgu Airport,RU
AEO,Aioun el Atrouss,Aioun el Atrouss Airport,MR
AEP,Buenos Aires,Aeroparque Jorge Newbery,Argentina
AEQ,Ar Horqin,Ar Horqin Airport,CN
AER,Sochi,Sochi International Airport,RU
AES,Alesund,Alesund Airport,NO
AET,Allakaket,Allakaket Airport,US
AEU,Abu Musa,Abu Musa Airport,IR
AEX,Alexandria,Alexandria International Airport,US
AEY,Akureyri,Akureyri Airport,IS
AFA,San Rafael,San Rafael Airport,AR
AFD,Port Alfred,Port Alfred Airport,ZA
AFF,United States Air Force Academy,United States Air Force Academy Airfield,US
AFI,Amalfi,Amalfi Airport,CO
AFK,Kondavattavan Tank,Kondavattavan Tank Seaplane Base,LK
AFL,Alta Floresta,Alta Floresta Airport,BR
AFN,Jaffrey Airport-Silver Ranch,Jaffrey Airport-Silver Ranch,US
AFO,Afton,Afton Municipal Airport,US
AFR,Afore,Afore Airport,PG
AFS,Zarafshan,Zarafshan Airport,UZ
AFT,Afutara,Afutara Airport,SB
AFW,Fort Worth Alliance,Fort Worth Alliance Airport,US
AFY,Afyon,Afyon Airport,TR
AFZ,Sabzevar,Sabzevar Airport,IR
AGA,Agadir-Al Massira,Agadir-Al Massira Airport,MA
AGB,Augsburg,Augsburg Airport,DE
AGC,Allegheny,Allegheny County Airport,US
AGD,Anggi,Anggi Airport,ID
AGE,Wangerooge,Wangerooge Airport,DE
AGF,Agen La Garenne,Agen La Garenne Airport,FR
AGG,Angoram,Angoram Airport,PG
AGH,Angelholm-Helsingborg,Angelholm-Helsingborg Airport (former ICAO: ES),SE
AGI,Wageningen,Wageningen Airstrip,SR
AGJ,Aguni,Aguni Airport,JP
AGK,Kagua,Kagua Airport,PG
AGL,Wanigela,Wanigela Airport,PG
AGN,Angoon,Angoon Seaplane Base,US
AGO,Magnolia,Magnolia Municipal Airport,US
AGP,Malaga,Malaga Airport,ES
AGQ,Agrinion,Agrinion Airport,GR
AGR,Agra,Agra Airport,IN
AGS,Augusta,Augusta Regional Airport at Bush Field,US
AGT,Guarani,Guarani  International Airport,PY
AGU,Lic. Jesus Teran Peredo,Lic. Jesus Teran Peredo International Airport,MX
AGV,Oswaldo Guevara Mujica,Oswaldo Guevara Mujica Airport,VE
AGW,Agnew,Agnew Airport,AU
AGX,Agatti,Agatti Aerodrome,IN
AGZ,Aggeneys,Aggeneys Airport,ZA
AHB,Abha,Abha Regional Airport,SA
AHC,Amedee Army,Amedee Army Airfield,US
AHD,Ardmore Downtown Executive,Ardmore Downtown Executive Airport,US
AHE,Ahe,Ahe Airport,PF
AHF,Arapahoe,Arapahoe Municipal Airport,US
AHH,Amery,Amery Municipal Airport,US
AHI,Amahai,Amahai Airport,ID
AHJ,Hongyuan,Hongyuan Airport,CN
AHL,Aishalton,Aishalton Airport,GY
AHM,Ashland,Ashland Municipal Airport,US
AHN,Athens Ben Epps,Athens Ben Epps Airport,US
AHO,Alghero-Fertilia,Alghero-Fertilia Airport,IT
AHS,Ahuas,Ahuas Airport,HN
AHU,Cherif Al Idrissi,Cherif Al Idrissi Airport,MA
AHY,Ambatolahy,Ambatolahy Airport,MG
AHZ,Alpe d'Huez,Alpe d'Huez Airport,FR
AIA,Alliance,Alliance Municipal Airport,US
AIC,Ailinglaplap Airok,Ailinglaplap Airok Airport,MH
AID,Anderson,Anderson Municipal Airport (Darlington Field),IN
AIE,Aiome,Aiome Airport,PG
AIF,Assis,Assis Airport (former ICAO: SBAS),BR
AIG,Yalinga,Yalinga Airport,CF
AIH,Aiambak,Aiambak Airport,PG
AII,Ali-Sabieh,Ali-Sabieh Airport,DJ
AIK,Aiken,Aiken Municipal Airport,US
AIL,Ailigandi,Ailigandi Airport,PA
AIM,Ailuk,Ailuk Airport,MH
AIN,Wainwright,Wainwright Airport,US
AIO,Atlantic,Atlantic Municipal Airport,US
AIR,Aripuana,Aripuana Airport,BR
AIS,Arorae Island,Arorae Island Airport,KI
AIT,Aitutaki,Aitutaki Airport,CK
AIU,Enua,Enua Airport,CK
AIV,George Downer,George Downer Airport,US
AIW,Ai-Ais,Ai-Ais Airport,NA
AIZ,Lee C. Fine Memorial,Lee C. Fine Memorial Airport,US
AJA,Ajaccio Napoleon Bonaparte,Ajaccio Napoleon Bonaparte Airport,FR
AJF,Al-Jawf Domestic,Al-Jawf Domestic Airport,SA
AJI,Agri,Agri Airport,TR
AJJ,Akjoujt,Akjoujt Airport,MR
AJK,Arak,Arak Airport,IR
AJL,Lengpui,Lengpui Airport,IN
AJN,Ouani,Ouani Airport,KM
AJR,Arvidsjaur,Arvidsjaur Airport,SE
AJS,Punta Abreojos,Punta Abreojos Airstrip,MX
AJU,Santa Maria,Santa Maria Airport,BR
AJY,Mano Dayak,Mano Dayak International Airport,NE
AKA,Ankang Wulipu,Ankang Wulipu Airport,CN
AKB,Atka,Atka Airport,US
AKC,Akron Fulton,Akron Fulton International Airport,US
AKD,Akola,Akola Airport,IN
AKE,Akieni,Akieni Airport,GA
AKF,Kufra,Kufra Airport,LY
AKG,Anguganak,Anguganak Airport,PG
AKH,Prince Sultan,Prince Sultan Air Base,SA
AKI,Akiak,Akiak Airport,US
AKJ,Asahikawa,Asahikawa Airport,JP
AKK,Akhiok,Akhiok Airport,US
AKL,Auckland,Auckland Airport,New Zealand
AKM,Zakouma,Zakouma Airport,TD
AKN,King Salmon,King Salmon Airport,US
AKO,Colorado Plains,Colorado Plains Regional Airport,US
AKP,Anaktuvuk Pass,Anaktuvuk Pass Airport,US
AKQ,Gunung Batin,Gunung Batin Airport,ID
AKR,Akure,Akure Airport,NG
AKS,Auki Gwaunaru'u,Auki Gwaunaru'u Airport,SB
AKT,Akrotiri,RAF Akrotiri,CY
AKU,Aksu,Aksu Airport,CN
AKV,Akulivik,Akulivik Airport,CA
AKW,Aghajari,Aghajari Airport,IR
AKX,Aktobe,Aktobe Airport,KZ
AKY,Sittwe,Sittwe Airport,MM
ALA,Almaty,Almaty International Airport,KZ
ALB,Albany,Albany International Airport,US
ALC,Alicante-Elche,Alicante-Elche Airport,ES
ALD,Alerta,Alerta Airport,PE
ALE,Alpine-Casparis,Alpine-Casparis Municipal Airport,US
ALF,Alta,Alta Airport,NO
ALG,Houari Boumediene,Houari Boumediene Airport,DZ
ALH,Albany,Albany Airport,AU
ALI,Alice,Alice International Airport,US
ALJ,Alexander Bay,Alexander Bay Airport,ZA
ALK,Asella,Asella Airport,ET
ALL,Albenga,Albenga Airport,IT
ALM,Alamogordo-White Sands,Alamogordo-White Sands Regional Airport,US
ALN,St. Louis,St. Louis Regional Airport,US
ALO,Waterloo,Waterloo Regional Airport,US
ALP,Aleppo,Aleppo International Airport,SY
ALQ,Alegrete,Alegrete Airport,BR
ALR,Alexandra,Alexandra Aerodrome,NZ
ALS,San Luis Valley,San Luis Valley Regional Airport,US
ALT,Alenquer,Alenquer Airport,BR
ALU,Alula,Alula Airport,SO
ALW,Walla Walla,Walla Walla Regional Airport,US
ALX,Thomas C. Russell,Thomas C. Russell Field,US
ALY,El Nouzha,El Nouzha Airport,EG
ALZ,Alitak,Alitak Seaplane Base,US
AMA,Rick Husband Amarillo,Rick Husband Amarillo International Airport,US
AMB,Ambilobe,Ambilobe Airport,IR
AMC,Am Timan,Am Timan Airport,TD
AMD,Sardar Vallabhbhai Patel,Sardar Vallabhbhai Patel International Airport,IN
AME,Alto Molocue,Alto Molocue Airport,MZ
AMF,Ama,Ama Airport,PG
AMG,Amboin,Amboin Airport,PG
AMH,Arba Minch,Arba Minch Airport,ET
AMJ,Almenara,Almenara Airport,BR
AMK,Animas,Animas Air Park,US
AML,Puerto Armuelles,Puerto Armuelles Airport,PA
AMM,Amman,Queen Alia International Airport,Jordan
AMN,Gratiot Community,Gratiot Community Airport,US
AMO,Mao,Mao Airport,TD
AMP,Ampanihy,Ampanihy Airport,MG
AMQ,Pattimura,Pattimura Airport,ID
AMS,Amsterdam,Amsterdam Schiphol Airport,Netherlands
AMT,Amata,Amata Airport,AU
AMU,Amanab,Amanab Airport,PG
AMV,Amderma,Amderma Airport,RU
AMW,Ames,Ames Municipal Airport,US
AMX,Ammaroo,Ammaroo Airport,AU
AMY,Ambatomainty,Ambatomainty Airport,MG
AMZ,Ardmore,Ardmore Airport,NZ
ANA,Angama,Angama Airstrip,KE
ANB,Anniston,Anniston Regional Airport,US
ANC,Ted Stevens Anchorage,Ted Stevens Anchorage International Airport,US
AND,Anderson,Anderson Regional Airport,US
ANE,Angers,Angers - Loire Airport,FR
ANF,Cerro Moreno,Cerro Moreno International Airport,CL
ANG,Angouleme,Angouleme - Cognac International Airport,FR
ANI,Aniak,Aniak Airport,US
ANJ,Zanaga,Zanaga Airport,CG
ANK,Etimesgut,Etimesgut Air Base,TR
ANL,Andulo,Andulo Airport,AO
ANM,Antsirabato,Antsirabato Airport,IR
ANN,Annette Island,Annette Island Airport,US
ANO,Angoche,Angoche Airport,MZ
ANP,Lee,Lee Airport,US
ANQ,Tri-State Steuben,Tri-State Steuben County Airport,IN
ANR,Antwerp,Antwerp International Airport,BE
ANS,Andahuaylas,Andahuaylas Airport,PE
ANU,V. C. Bird,V. C. Bird International Airport,AG
ANV,Anvik,Anvik Airport,US
ANW,Ainsworth,Ainsworth Regional Airport,US
ANX,Andoya,Andoya Airport,NO
ANY,Anthony,Anthony Municipal Airport,US
ANZ,Angus Downs,Angus Downs Airport,AU
AOA,Aroa,Aroa Airport,PG
AOB,Annanberg,Annanberg Airport,PG
AOC,Leipzig-Altenburg,Leipzig-Altenburg Airport,DE
AOD,Abou-Deia,Abou-Deia Airport,TD
AOE,Anadolu,Anadolu Airport,TR
AOG,Anshan Teng'ao,Anshan Teng'ao Airport,CN
AOH,Lima Allen,Lima Allen County Airport,US
AOI,Ancona Falconara,Ancona Falconara Airport,IT
AOJ,Aomori,Aomori Airport,JP
AOK,Karpathos Island National,Karpathos Island National Airport,GR
AOL,Paso de los Libres,Paso de los Libres Airport,AR
AOM,Adam,Adam Airport,OM
AON,Arona,Arona Airport,PG
AOO,Altoona-Blair,Altoona-Blair County Airport,US
AOP,Alferez FAP Alfredo Vladimir Sara Bauer,Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE
AOR,Sultan Abdul Halim,Sultan Abdul Halim Airport,MY
AOS,Amook Bay,Amook Bay Seaplane Base,US
AOT,Aosta Valley,Aosta Valley Airport,IT
APA,Centennial,Centennial Airport,US
APB,Apolo,Apolo Airport,BO
APC,Napa,Napa County Airport,US
APF,Naples,Naples Municipal Airport,US
APG,Phillips Army,Phillips Army Airfield,US
APH,A.P. Hill Army,A.P. Hill Army Airfield,US
API,Captain Luis F. Gomez Nino,Captain Luis F. Gomez Nino Air Base,CO
APK,Apataki,Apataki Airport,PF
APL,Nampula,Nampula Airport,MZ
APN,Alpena County,Alpena County Regional Airport,US
APO,Antonio Roldan  Betancourt,Antonio Roldan  Betancourt Airport,CO
APP,Asapa,Asapa Airport,PG
APQ,Arapiraca,Arapiraca Airport,BR
APR,April River,April River Airport,PG
APS,Anapolis,Anapolis Airport,BR
APT,Marion,Marion County Airport (Brown Field),US
APU,Apucarana,Apucarana Airport,BR
APV,Apple Valley,Apple Valley Airport,US
APW,Faleolo,Faleolo International Airport,WS
APX,Arapongas,Arapongas Airport,BR
APY,Alto Parnaiba,Alto Parnaiba Airport,BR
APZ,Zapala,Zapala Airport,AR
AQA,Araraquara,Araraquara Airport,BR
AQB,Quiche,Quiche Airport,GT
AQG,Anqing Tianzhushan,Anqing Tianzhushan Airport,CN
AQI,Al Qaisumah,Al Qaisumah/Hafr Al Batin Airport,SA
AQJ,King Hussein,King Hussein International Airport,JO
AQM,Ariquemes,Ariquemes Airport,BR
AQP,Rodriguez Ballon,Rodriguez Ballon International Airport,PE
AQS,Saqani,Saqani Airport,FJ
AQY,Girdwood,Girdwood Airport,US
ARA,Acadiana,Acadiana Regional Airport,US
ARB,Ann Arbor,Ann Arbor Municipal Airport,US
ARC,Arctic Village,Arctic Village Airport,US
ARD,Alor Island,Alor Island Airport,ID
ARE,Antonio Juarbe Pol,Antonio (Nery) Juarbe Pol Airport,US
ARF,Acaricuara,Acaricuara Airport,CO
ARG,Walnut Ridge,Walnut Ridge Regional Airport,US
ARH,Talagi,Talagi Airport,RU
ARI,Chacalluta,Chacalluta International Airport,CL
ARJ,Arso,Arso Airport,ID
ARK,Arusha,Arusha Airport,TZ
ARL,Arly,Arly Airport,BF
ARM,Armidale,Armidale Airport,AU
ARN,Stockholm,Stockholm Arlanda Airport,Sweden
ARO,Arboletes,Arboletes Airport,CO
ARP,Aragip,Aragip Airport,PG
ARQ,El Troncal,El Troncal Airport,CO
ARR,Alto Rio Senguer,Alto Rio Senguer Airport,AR
ARS,Aragarcas,Aragarcas Airport,BR
ART,Watertown,Watertown International Airport,US
ARU,Aracatuba,Aracatuba Airport,BR
ARV,Lakeland,Lakeland Airport (Noble F. Lee Memorial Field),US
ARW,Arad,Arad International Airport,RO
ARY,Ararat,Ararat Airport,AU
ARZ,N'zeto,N'zeto Airport,AO
ASA,Assab,Assab International Airport,ER
ASB,Ashgabat,Ashgabat International Airport,TM
ASC,Ascencion de Guarayos,Ascencion de Guarayos Airport,BO
ASD,Andros Town,Andros Town International Airport,BS
ASE,Aspen-Pitkin,Aspen-Pitkin County Airport (Sardy Field),US
ASF,Narimanovo,Narimanovo Airport,RU
ASG,Ashburton,Ashburton Aerodrome,NZ
ASH,Nashua,Nashua Airport (Boire Field),US
ASI,Ascension Island,RAF Ascension Island (Wideawake Field),SH
ASJ,Amami,Amami Airport,JP
ASK,Yamoussoukro,Yamoussoukro Airport,CI
ASL,Harrison,Harrison County Airport,US
ASM,Asmara,Asmara International Airport,ER
ASN,Talladega,Talladega Municipal Airport,US
ASO,Asosa,Asosa Airport,ET
ASP,Alice Springs,Alice Springs Airport,AU
ASQ,Austin,Austin Airport,US
ASR,Erkilet,Erkilet International Airport,TR
AST,Astoria,Astoria Regional Airport,US
ASU,Silvio Pettirossi,Silvio Pettirossi International Airport,PY
ASV,Amboseli,Amboseli Airport,KE
ASW,Aswan,Aswan International Airport,EG
ASX,John F. Kennedy Memorial,John F. Kennedy Memorial Airport,US
ASY,Ashley,Ashley Municipal Airport,US
ASZ,Asirim,Asirim Airport,PG
ATA,Comandante FAP German Arias Graziani,Comandante FAP German Arias Graziani Airport,PE
ATB,Atbara,Atbara Airport,SD
ATC,Arthur's Town,Arthur's Town Airport,BS
ATD,Uru Harbour,Uru Harbour Airport,SB
ATE,Antlers,Antlers Municipal Airport,US
ATF,Chachoan,Chachoan Airport,EC
ATG,Base Minhas,PAF Base Minhas,PK
ATH,Athens,Athens International Airport,Greece
ATI,Artigas,Artigas International Airport,UY
ATJ,Antsirabe,Antsirabe Airport,MG
ATK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk Edward Burnell Sr. Memorial Airport,US
ATL,Atlanta,Hartsfield-Jackson Atlanta International Airport,United States
ATM,Altamira,Altamira Airport,BR
ATN,Namatanai,Namatanai Airport,PG
ATO,Ohio University,Ohio University Airport (Snyder Field),US
ATP,Aitape,Aitape Airstrip,PG
ATQ,Sri Guru Ram Dass Jee,Sri Guru Ram Dass Jee International Airport,IN
ATR,Atar,Atar International Airport,MR
ATS,Artesia,Artesia Municipal Airport,US
ATT,Atmautluak,Atmautluak Airport,US
ATU,Casco Cove Coast Guard Station,Casco Cove Coast Guard Station,US
ATV,Ati,Ati Airport,TD
ATW,Appleton,Appleton International Airport,US
ATX,Atbasar,Atbasar Airport,KZ
ATY,Watertown,Watertown Regional Airport,US
ATZ,Assiut,Assiut Airport,EG
AUA,Queen Beatrix,Queen Beatrix International Airport,AW
AUC,Santiago Perez  Quiroz,Santiago Perez  Quiroz Airport,CO
AUD,Augustus Downs,Augustus Downs Airport,AU
AUE,Abu Rudeis,Abu Rudeis Airport,EG
AUF,Auxerre,Auxerre - Branches Aerodrome,FR
AUG,Augusta State,Augusta State Airport,US
AUH,Abu Dhabi,Abu Dhabi International Airport,United Arab Emirates
AUI,Aua Island,Aua Island Airport,PG
AUJ,Ambunti,Ambunti Airport,PG
AUK,Alakanuk,Alakanuk Airport,US
AUL,Aur,Aur Airport,MH
AUM,Austin,Austin Municipal Airport,US
AUN,Auburn,Auburn Municipal Airport,US
AUO,Auburn University,Auburn University Regional Airport,US
AUP,Agaun,Agaun Airport,PG
AUQ,Atuona,Atuona Airport,PF
AUR,Aurillac,Aurillac - Tronquieres Airport,FR
AUS,Austin-Bergstrom,Austin-Bergstrom International Airport,US
AUT,Atauro,Atauro Airport,TL
AUU,Aurukun,Aurukun Airport,AU
AUV,Aumo,Aumo Airport,PG
AUW,Wausau Downtown,Wausau Downtown Airport,US
AUX,Araguaina,Araguaina Airport,BR
AUY,Anatom,Anatom Airport,VU
AUZ,Aurora,Aurora Municipal Airport,US
AVA,Anshun Huangguoshu,Anshun Huangguoshu Airport,CN
AVB,Aviano,Aviano Air Base,IT
AVG,Auvergne,Auvergne Airport,AU
AVI,Maximo Gomez,Maximo Gomez  Airport,CU
AVK,Arvaikheer,Arvaikheer Airport,MN
AVL,Asheville,Asheville Regional Airport,US
AVN,Avignon,Avignon - Provence Airport,FR
AVO,Avon Park Executive,Avon Park Executive Airport,US
AVP,Wilkes-Barre,Wilkes-Barre/Scranton International Airport,US
AVU,Avu Avu,Avu Avu Airport,SB
AVV,Melbourne,Avalon Airport,Australia
AVW,Marana,Marana Regional Airport,US
AVX,Catalina,Catalina Airport,US
AWA,Awasa,Awasa Airport,ET
AWB,Awaba,Awaba Airport,PG
AWD,Aniwa,Aniwa Airport,VU
AWE,Alowe,Alowe Airport,GA
AWK,Wake Island,Wake Island Airfield,UM
AWM,West Memphis,West Memphis Municipal Airport,US
AWN,Alton Downs,Alton Downs Airport,AU
AWP,Austral Downs,Austral Downs Airport,AU
AWR,Awar,Awar Airport,PG
AWZ,Ahvaz,Ahvaz International Airport,IR
AXA,Clayton J. Lloyd,Clayton J. Lloyd International Airport,AI
AXB,Maxson,Maxson Airfield,US
AXC,Aramac,Aramac Airport,AU
AXD,Alexandroupoli,Alexandroupoli Airport (Dimokritos Airport),GR
AXE,Xanxere,Xanxere Airport,BR
AXF,Alxa Left Banner Bayanhot,Alxa Left Banner Bayanhot Airport,CN
AXG,Algona,Algona Municipal Airport,US
AXJ,Amakusa,Amakusa Airfield,JP
AXK,Ataq,Ataq Airport,YE
AXL,Alexandria,Alexandria Airport,AU
AXM,El Eden,El Eden International Airport,CO
AXN,Alexandria,Alexandria Municipal Airport (Chandler Field),US
AXP,Spring Point,Spring Point Airport,BS
AXR,Arutua,Arutua Airport,PF
AXS,Altus,Altus/Quartz Mountain Regional Airport,US
AXT,Akita,Akita Airport,JP
AXU,Axum,Axum Airport,ET
AXV,Neil Armstrong,Neil Armstrong Airport,US
AXX,Angel Fire,Angel Fire Airport,US
AYA,Ayapel,Ayapel Airport,CO
AYC,Ayacucho,Ayacucho Airport,CO
AYD,Alroy Downs,Alroy Downs Airport,AU
AYG,Yaguara,Yaguara Airport,CO
AYI,Yari,Yari Airport,CO
AYK,Arkalyk,Arkalyk Airport,KZ
AYL,Anthony Lagoon,Anthony Lagoon Airport,AU
AYM,Yas Island,Yas Island Seaplane Base,AE
AYN,Anyang,Anyang Airport,CN
AYO,Juan de Ayolas,Juan de Ayolas Airport,PY
AYP,Coronel FAP Alfredo Mendivil Duarte,Coronel FAP Alfredo Mendivil Duarte Airport,PE
AYQ,Ayers Rock,Ayers Rock Airport,AU
AYR,Ayr,Ayr Airport,AU
AYS,Waycross-Ware,Waycross-Ware County Airport,US
AYT,Antalya,Antalya Airport,TR
AYU,Aiyura,Aiyura Airport,PG
AYX,Tnte. Gral. Gerardo Perez Pinedo,Tnte. Gral. Gerardo Perez Pinedo Airport,PE
AYY,Arugam Bay,Arugam Bay Seaplane Base,LK
AZA,Phoenix-Mesa Gateway,Phoenix-Mesa Gateway Airport,US
AZB,Amazon Bay,Amazon Bay Airport,PG
AZD,Shahid Sadooghi,Shahid Sadooghi Airport,IR
AZG,Pablo L. Sidar,Pablo L. Sidar Airport,MX
AZI,Abu Dhabi,Al Bateen Executive Airport,United Arab Emirates
AZL,Fazenda Tucunare,Fazenda Tucunare Airport,BR
AZN,Andizhan,Andizhan Airport,UZ
AZO,Kalamazoo,Kalamazoo/Battle Creek International Airport,US
AZP,Jorge Jimenez Cantu National,Jorge Jimenez Cantu National Airport,MX
AZR,Touat-Cheikh Sidi Mohamed Belkebir,Touat-Cheikh Sidi Mohamed Belkebir Airport,DZ
AZS,Samana El Catey,Samana El Catey International Airport,DO
AZT,Zapatoca,Zapatoca Airport,CO
AZZ,Ambriz,Ambriz Airport,AO
BAA,Bialla,Bialla Airport,PG
BAB,Beale,Beale Air Force Base,US
BAC,Barranca de Upia,Barranca de Upia Airport,CO
BAD,Barksdale,Barksdale Air Force Base,US
BAE,Barcelonnette,Barcelonnette - Saint-Pons Airport,FR
BAF,Westfield-Barnes,Westfield-Barnes Regional Airport,US
BAG,Loakan,Loakan Airport,PH
BAH,Bahrain,Bahrain International Airport,Bahrain
BAI,Buenos Aires,Buenos Aires Airport,CR
BAJ,Bali,Bali Airport,PG
BAL,Batman,Batman Airport,TR
BAM,Battle Mountain,Battle Mountain Airport (Lander County Airport),US
BAN,Basongo,Basongo Airport,CD
BAP,Baibara,Baibara Airport,PG
BAQ,Ernesto Cortissoz,Ernesto Cortissoz International Airport,CO
BAR,Qionghai Bo'ao,Qionghai Bo'ao Airport,CN
BAS,Balalae,Balalae Airport,SB
BAT,Chafei Amsei,Chafei Amsei Airport,BR
BAV,Baotou,Baotou Airport,CN
BAW,Biawonque,Biawonque Airport,GA
BAX,Barnaul,Barnaul Airport,RU
BAY,Baia Mare,Baia Mare Airport,RO
BAZ,Barcelos,Barcelos Airport,BR
BBA,Balmaceda,Balmaceda Airport,CL
BBB,Benson,Benson Municipal Airport,US
BBC,Bay City,Bay City Municipal Airport,US
BBD,Curtis,Curtis Field,US
BBG,Butaritari Atoll,Butaritari Atoll Airport,KI
BBH,Stralsund-Barth,Stralsund-Barth Airport,DE
BBI,Biju Patnaik,Biju Patnaik International Airport,IN
BBJ,Bitburg,Bitburg Airport (former Bitburg Air Base),DE
BBK,Kasane,Kasane Airport,BW
BBL,Ballera,Ballera Airport,AU
BBM,Battambang,Battambang Airport,KH
BBN,Bario,Bario Airport,MY
BBO,Berbera,Berbera Airport,SO
BBP,Bembridge,Bembridge Airport,GB
BBQ,Barbuda Codrington,Barbuda Codrington Airport,AG
BBR,Baillif,Baillif Airport,GP
BBS,Blackbushe,Blackbushe Airport,GB
BBT,Berberati,Berberati Airport,CF
BBU,Bucharest,Băneasa Aurel Vlaicu Airport,Romania
